id,code,name,industry,concept,sme,gem,st,hs300,sh50,zz500,pe,outstanding,totals,totalAssets,liquidAssets,timeToMarket,pb,rev,profit,holders
0,000886,海南高速,路桥,,False,False,False,0.0,False,False,38.72,9.65,9.89,317288.59,211983.42,19980123,2.12,203.93,134.75,67317.0
1,600207,安彩高科,元器件,,False,False,False,0.0,False,False,0.0,6.9,8.63,227245.75,103988.21,19990714,3.19,0.91,-505.14,42335.0
2,601969,海南矿业,普钢,,False,False,False,0.0,False,True,334.37,19.55,19.55,784471.69,434332.59,20141209,2.91,187.64,123.77,31821.0
3,600215,长春经开,园区开发,,False,False,False,0.0,False,False,425.8,4.65,4.65,301904.47,195245.69,19990909,1.97,-14.01,-44.11,32048.0
4,300209,天泽信息,软件服务,,False,False,False,0.0,False,False,49.22,2.44,2.92,256140.47,131878.0,20110426,2.34,22.56,37.39,29038.0
5,603007,花王股份,建筑施工,,False,False,False,0.0,False,False,38.82,1.94,3.33,196688.38,106561.3,20160826,4.61,49.0,29.21,27652.0
6,300256,星星科技,元器件,,False,False,False,0.0,False,False,48.83,3.96,6.5,888832.63,466973.16,20110819,1.23,18.42,-29.7,42925.0
7,000825,太钢不锈,特种钢,,False,False,False,0.0,False,True,13.27,56.96,56.96,7014549.0,1663906.75,19981021,1.56,25.32,154.35,231199.0
8,000735,罗 牛 山,农业综合,,False,False,False,0.0,False,False,43.5,10.6,11.52,618940.0,207991.38,19970611,2.4,116.29,85.11,90000.0
9,300684,中石科技,化工原料,,False,False,False,0.0,False,False,95.4,0.22,0.87,61019.13,33648.35,20171227,7.98,0.0,0.0,45590.0
10,300693,盛弘股份,电气设备,,False,False,False,0.0,False,False,47.37,0.23,0.91,78534.15,76455.4,20170822,4.39,0.0,0.0,16931.0
11,300141,和顺电气,电气设备,,False,False,False,0.0,False,False,131.46,1.63,2.55,103825.86,89381.46,20101112,3.37,34.16,-11.64,27730.0
12,002190,成飞集成,汽车配件,,False,False,False,0.0,False,True,9481.21,3.45,3.59,906465.5,470228.09,20071203,4.2,-21.19,-99.32,51418.0
13,300740,御家汇,日用化工,,False,False,False,0.0,False,False,45.19,0.4,1.6,85748.68,71829.68,20180208,9.95,40.61,114.85,78015.0
14,603069,海汽集团,公路,,False,False,False,0.0,False,False,49.64,1.74,3.16,180434.95,63707.68,20160712,2.93,0.66,-10.62,24866.0
15,600579,天华院,化工机械,,False,False,False,0.0,False,False,0.0,4.11,4.11,174226.13,134148.17,20020809,3.22,-10.07,-649.42,10787.0
16,600238,海南椰岛,红黄药酒,,False,False,False,0.0,False,False,775.46,4.45,4.48,174418.52,139633.19,20000120,4.09,61.36,105.3,29905.0
17,300707,威唐工业,专用机械,,False,False,False,0.0,False,False,32.29,0.2,0.79,78813.49,59395.21,20171010,5.47,0.0,0.0,39302.0
18,002925,盈趣科技,元器件,,False,False,False,0.0,False,False,43.96,0.75,4.55,230804.05,201431.2,20180115,25.53,0.0,0.0,0.0
